Title,Artist,ArtistBio,Date,Medium,Dimensions,CreditLine,MoMANumber,Classification,Department,DateAcquired,CuratorApproved,ObjectID,URL,Width,Height
Untitled,Jean HÃ©lion,"(French, 1904â€“1987)",1950,Black chalk on colored paper,"24 7/8 x 18 7/8"" (63.4 x 47.9 cm)",Gift of Alexis Gregory,107.1974,Drawing,Drawings,1974-02-12,Y,34004,http://www.moma.org/collection/works/34004,63.4,47.9
"Second Born, Berkeley",Dorothea Lange,"(American, 1895â€“1965)",1955,Gelatin silver print,"8 1/2 x 6 15/16"" (21.6 x 17.6 cm)",Purchase,444.1995,Photograph,Photography,1995-06-15,N,53464,,21.6,17.6
Untitled,William Brui,"(Israeli, born 1946)",1969,Pastel on paper,"sheet 30 1/4 x 22 1/8"" (76.9 x 56.2 cm)",Gift of the George and Janet Jaffin Foundation,268.1973,Drawing,Drawings,1973-05-24,Y,35798,http://www.moma.org/collection/works/35798,76.9,56.2
Untitled,Willem de Kooning,"(American, born the Netherlands. 1904â€“1997)",1966,Charcoal on paper,"10 x 8"" (25.4 x 20.3 cm)",Gift of Jan Christiaan Braun in honor of Rudi Fuchs,635.2012.9,Drawing,Drawings,2012-04-10,Y,160631,http://www.moma.org/collection/works/160631,25.4,20.3
Japan (JapÃ£o),Waltercio Caldas,"(Brazilian, born 1946)",1972,"Transfer type, ink, and metallic ink on paper","19 x 17 1/2"" (48.3 x 44.4 cm)","Gift of Gilberto Chateaubriand in memory of Monroe Wheeler, Francisco Masjuan and John Brady",182.1995,Drawing,Drawings,1995-06-14,Y,35112,http://www.moma.org/collection/works/35112,48.3,44.4
Study for The Gates to Times Square,Chryssa,"(American, born Greece. 1933â€“2013)",1970,Gouache and graphite on paper,"24 1/2 x 24"" (62.3 x 61 cm)",Gift of Norman Alexander,490.1977,Drawing,Drawings,1977-11-02,Y,37140,http://www.moma.org/collection/works/37140,62.3,61
Untitled,William Eggleston,"(American, born 1939)",1975,Dye transfer print,"11 1/4 x 17 1/4"" (28.8 x 44.1 cm)",Gift of Caldecot Chubb,218.1986.11,Photograph,Photography,1986-05-22,N,48835,,28.8,44.1
UNTITLED (Light Head Against Sky),George Krause,"(American, born 1937)",1965,Gelatin silver print,"6 1/8 x 4 1/2"" (15.5 x 11.4 cm)",,512.1973,Photograph,Photography,1973-11-13,N,54573,,15.5,11.4
Structure Studies,Jan Dibbets,"(Dutch, born 1941)",1973,Chromogenic color print,"8 9/16 x 11 3/16"" (21.7 x 28.4 cm)",Anonymous gift,221.2014.239,Photograph,Photography,2014-05-08,N,185482,,21.7,28.4
Marilyn and the Sheep,Jerry Uelsmann,"(American, born 1934)",1964,Gelatin silver print,"9 3/8 x 13 13/16"" (23.8 x 35.1 cm)",David H. McAlpin Fund,941.1969,Photograph,Photography,1969-11-05,Y,57338,http://www.moma.org/collection/works/57338,23.8,35.1
"Ambition Shadowless, only state, variant",Louise Bourgeois,"(American, born France. 1911â€“2010)",1989,Etching with chine collÃ©,"plate: 8 15/16 x 3 15/16"" (22.7 x 10.1 cm)",Gift of the artist,482.1993,Print,Prints & Illustrated Books,1993-11-17,N,69907,,22.7,10.1
I primi mille fiumi piu' lunghi de mondo from Insicuro Noncurante,Alighiero Boetti,"(Italian, 1940â€“1994)",1966,One from a portfolio of eighty two mixed media prints,"each: 21 5/8 x 17 11/16"" (55 x 45 cm)",Committee on Prints and Illustrated Books Fund with support from Marie-JosÃ©e and Henry R. Kravis,898.2010.74,Print,Prints & Illustrated Books,2010-11-10,N,157041,,55,45
Facade with Madonna,Thomas Roma,"(American, born 1950)",1975,"Gelatin silver print, printed 1989","22 13/16 x 33 13/16"" (57.9 x 85.9 cm)",Gift of the photographer,220.1989,Photograph,Photography,1989-10-12,N,48882,,57.9,85.9
Unused preparatory drawing from In Memory of My Feelings,Willem de Kooning,"(American, born the Netherlands. 1904â€“1997)",1967,Charcoal on acetate,"sheet: 14 1/16 x 11"" (35.7 x 28 cm)",Gift of the artist,2202.1967.62,Drawing,Prints & Illustrated Books,1967-10-18,Y,125405,http://www.moma.org/collection/works/125405,35.7,28
London,Lee Friedlander,"(American, born 1934)",1964,Gelatin silver print,"5 3/16 x 8 1/16"" (13.1 x 20.4 cm)",Purchase,364.2,Photograph,Photography,2000-10-12,Y,51807,http://www.moma.org/collection/works/51807,13.1,20.4
Untitled (Portrait of Henry de Montherlant),Gerhard Richter,"(German, born 1932)",1971,Oil on canvas,"27 5/8 x 21 7/8"" (70.2 x 55.5 cm)",Gift of Jo Carole and Ronald S. Lauder,232.1991,Painting,Painting & Sculpture,1991-10-07,Y,79215,http://www.moma.org/collection/works/79215,70.2,55.5
Vanilla Nightmare #12,Adrian Piper,"(American, born 1948)",1986,Charcoal on newspaper,"23 1/2 x 13 1/2"" (59.7 x 34.3 cm)",Gift of Gwen and Peter Norton,1142.2011,Drawing,Drawings,2011-12-13,Y,153244,http://www.moma.org/collection/works/153244,59.7,34.3
Untitled (Carrot) from an untitled portfolio,David Shrigley,"(British, born 1968)",2005,One from a portfolio of twenty-two woodcuts,"composition and sheet: 23 1/8 x 15 11/16"" (58.8 x 39.8 cm)",The Associates Fund,292.2006.1,Print,Prints & Illustrated Books,2006-03-08,Y,102290,http://www.moma.org/collection/works/102290,58.8,39.8
"Central Park Zoo, New York City",Garry Winogrand,"(American, 1928â€“1984)",1967,Gelatin silver print,"8 13/16 x 13 3/16"" (22.4 x 33.5 cm)","Purchase, and gift of Barbara Schwartz in memory of Eugene M. Schwartz",443.1998,Photograph,Photography,1998-06-11,N,53453,,22.4,33.5
"Untitled, 1:33 p.m., 29th July 1991",Christopher Bucklow,"(British, born 1957)",1991,Gelatin silver print,"16 x 17 1/2"" (40.6 x 26.9 cm)",Gift of Sarah-Ann and Werner H. Kramarsky,335.1999,Photograph,Photography,1999-10-14,N,51088,,40.6,26.9
"Ground Water Pump Near Allensworth, California",Robert Dawson,"(American, born 1950)",1984,Gelatin silver print,"17 9/16 x 13 11/16"" (44.6 x 34.7 cm)",The Family of Man Fund,369.199,Photograph,Photography,1990-10-11,Y,51936,http://www.moma.org/collection/works/51936,44.6,34.7
"Store Poster, Torn Out Letters, Newspaper. Pie, Cup Cakes and Hot Dog",Claes Oldenburg,"(American, born Sweden 1929)",1961,"Cut-and-pasted paper and printed paper, watercolor, and crayon on paper","20 x 26"" (50.8 x 66.1 cm)",Purchased with funds provided by Marie-JosÃ©e and Henry R. Kravis,215.1996,Drawing,Drawings,1996-05-16,Y,35318,http://www.moma.org/collection/works/35318,50.8,66.1
Study for George Washington Crossing the Delaware,Larry Rivers,"(American, 1923â€“2002)",1953,Pencil on paper,"13 7/8 x 16 1/2"" (35.2 x 41.9 cm)",Given anonymously,26.1955.12,Drawing,Drawings,1955-04-06,Y,85391,http://www.moma.org/collection/works/85391,35.2,41.9
"Tallahatchie County, Mississippi",William Eggleston,"(American, born 1939)",1969,Dye transfer print,"12 1/16 x 17 15/16"" (30.6 x 45.6 cm)",Purchase,355.1978,Photograph,Photography,1978-05-11,Y,51611,http://www.moma.org/collection/works/51611,30.6,45.6
"Mario and Friends, Bohemian Cigar Store",Ira Nowinski,"(American, born 1942)",1973,Gelatin silver print,"8 3/8 x 12 1/2"" (21.3 x 31.8 cm)",Acquired through the generosity of the Vera Louise Fraser Estate,1176.1979,Photograph,Photography,1979-12-13,Y,57794,http://www.moma.org/collection/works/57794,21.3,31.8
Southern United States,Lee Friedlander,"(American, born 1934)",1966,Gelatin silver print,"6 1/4 x 9 1/2"" (15.9 x 24.2 cm)",Purchase,14.2006,Photograph,Photography,2006-01-11,Y,89907,http://www.moma.org/collection/works/89907,15.9,24.2
Gog,John Armleder,"(Swiss, born 1948)",1996,Screenprint,"composition 19 11/16 x 19 11/16"" (50 x 50 cm)",Gift of the Junior Associates of the Museum of Modern Art,519.1997.12,Print,Prints & Illustrated Books,1997-11-11,N,93060,,50,50
Seizures,Christian Holstad,"(American, born 1972)",2003,"Pencil, charcoal, and gouache on erased newspaper","5 1/4 x 6 3/4"" (13.3 x 17.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1904.2005,Drawing,Drawings,2005-05-10,Y,96187,http://www.moma.org/collection/works/96187,13.3,17.1
"Bloody Sunday, Derry",Gilles Peress,"(French, born 1946)",1972,"Pigmented inkjet print, printed 2011","24 1/8 x 36 1/4"" (61.2 x 92 cm)",Gift of Susan and Peter MacGill,1224.2013,Photograph,Photography,2014-02-20,N,177263,,61.2,92
Work Drawing: 10 x Place Distance Place,Franz Erhard Walther,"(German, born 1939)",1968,"Watercolor, ink, and pencil on paper","11 5/8 x 8 1/4"" (29.5 x 21 cm)",Richard S. Zeisler Bequest (by exchange),42.2011.17.a-b,Drawing,Drawings,2011-02-07,Y,162328,http://www.moma.org/collection/works/162328,29.5,21
_Untitled_,Ken Price,"(American, 1935â€“2012)",1974,Colored pencil on board,"14 x 11"" (35.6 x 27.9 cm)",Committee on Drawings Funds,793.2006,Drawing,Drawings,2006-12-12,Y,105858,http://www.moma.org/collection/works/105858,35.6,27.9
Untitled (Self-Portrait),Joan Lyons,"(American, born 1937)",1974,Lithograph-Xerox transfer,"22 9/16 x 15 1/2"" (57.3 x 39.3 cm)",The Family of Man Fund,817.1978,Photograph,Photography,1978-12-14,N,56544,,57.3,39.3
"Chicago, Illinois",Lee Friedlander,"(American, born 1934)",1966,Gelatin silver print,"6 3/16 x 9 7/16"" (15.7 x 23.9 cm)",Gift of the photographer,256.2005,Photograph,Photography,2005-05-11,Y,89920,http://www.moma.org/collection/works/89920,15.7,23.9
Untitled,Nicola Tyson,"(British, born 1960)",2001,Pencil on paper,"16 3/4 x 14"" (42.5 x 35.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3312.2005,Drawing,Drawings,2005-05-10,Y,97618,http://www.moma.org/collection/works/97618,42.5,35.6
"Balcony, Valencia",Robert Frank,"(American, born Switzerland 1924)",1952,Gelatin silver print,"9 1/8 x 13 1/16"" (23.2 x 33.1 cm)",Gift of Edward Steichen,354.1981.18,Photograph,Photography,1981-10-15,N,51569,,23.2,33.1
Untitled,Alexander Ross,"(American, born 1960)",2003,Pencil on paper,"22 3/8 x 30"" (56.8 x 76.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2912.2005,Drawing,Drawings,2005-05-10,Y,97202,http://www.moma.org/collection/works/97202,56.8,76.2
Dan Grahamâ€“Pier 18,"Dan Graham, Harry Shunk, JÃ¡nos Kender","(American, born 1942) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 5/8 x 9 11/16"" (16.9 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.135,Photograph,Photography,2013-10-24,Y,176137,http://www.moma.org/collection/works/176137,16.9,24.6
"Bonjour--Maestro, Mabou",Robert Frank,"(American, born Switzerland 1924)",1974,Gelatin silver print,"9 5/8 x 12 11/16"" (24.5 x 32.2 cm)",Gift of Robert and Gayle Greenhill,1215.2012,Photograph,Photography,2012-10-02,N,93437,,24.5,32.2
"Ottawa, Canada",Lee Friedlander,"(American, born 1934)",1975,Gelatin silver print,"7 7/16 x 11 3/16"" (18.9 x 28.4 cm)",Purchase,495.2,Photograph,Photography,2000-10-12,N,54363,,18.9,28.4
Tabriz - Followers of Ayatollah Shariot Madari,Gilles Peress,"(French, born 1946)",1980,Gelatin silver print,"8 1/16 x 12"" (20.5 x 30.4 cm)",Purchase,523.198,Photograph,Photography,1980-10-23,Y,54693,http://www.moma.org/collection/works/54693,20.5,30.4
Untitled (Selbstbildnis),A.R. Penck (Ralf Winkler),"(German, born 1939)",1987,Gouache on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2691.2005,Drawing,Drawings,2005-05-10,Y,96975,http://www.moma.org/collection/works/96975,21,29.8
"Head, I",Pavel Tchelitchew,"(American, born Russia. 1898â€“1957)",1950,Colored pencil on black paper,"18 7/8 x 12 1/2"" (47.9 x 31.8 cm)",Purchase,29.1951,Drawing,Drawings,1951-01-30,Y,33378,http://www.moma.org/collection/works/33378,47.9,31.8
"Tallahatchie County, Mississippi",William Eggleston,"(American, born 1939)",1972,"Dye transfer print, printed 1986","10 3/4 x 16 3/8"" (27.4 x 41.6 cm)",Acquired through the generosity of the John E. Galvin Charitable Trust on behalf of the Crouse Family,294.1987,Photograph,Photography,1987-10-15,Y,50098,http://www.moma.org/collection/works/50098,27.4,41.6
118 N. Main St,Reed Estabrook,"(American, born 1944)",1969,Gelatin silver print,"7 x 12"" (17.8 x 30.5 cm)",Purchase,31.1971,Photograph,Photography,1971-01-05,Y,44272,http://www.moma.org/collection/works/44272,17.8,30.5
Jarabina,Josef Koudelka,"(Czech, born 1938)",1963,Gelatin silver print,"7 1/4 x 11 7/16"" (18.5 x 29.1 cm)",David H. McAlpin Fund,340.1968,Photograph,Photography,1968-03-06,Y,51243,http://www.moma.org/collection/works/51243,18.5,29.1
Orange Bird with Fake Cloud (Vic Muniz),Ann Craven,"(American, born 1967)",2000,Watercolor on paper,"15 x 11 1/2"" (38.1 x 29.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1475.2005,Drawing,Drawings,2005-05-10,Y,95728,http://www.moma.org/collection/works/95728,38.1,29.2
Yohko,Masahisa Fukase,"(Japanese, born 1934)",1963,Gelatin silver print,"12 7/8 x 9 3/8"" (32.8 x 23.8 cm)",Gift of the photographer,264.1977,Photograph,Photography,1977-06-09,N,49728,,32.8,23.8
Animulae,Alfonso Ossorio,"(American, born The Philipines. 1916â€“1990)",1950,Watercolor and wax on board,"30 1/8 x 22"" (76.6 x 55.9 cm)",Gift of the artist,1098.1969,Drawing,Drawings,1970-02-10,Y,38413,http://www.moma.org/collection/works/38413,76.6,55.9
Selbst (Prag),A.R. Penck (Ralf Winkler),"(German, born 1939)",1987,Gouache and watercolor on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2688.2005,Drawing,Drawings,2005-05-10,Y,96972,http://www.moma.org/collection/works/96972,21,29.8
Gog,John Armleder,"(Swiss, born 1948)",1996,Portfolio of thirteen screenprints,"composition and sheet: 19 11/16 x 19 11/16"" (50 x 50 cm)",Gift of the Junior Associates of The Museum of Modern Art,519.1997.1-13,Print,Prints & Illustrated Books,1997-11-11,Y,70427,http://www.moma.org/collection/works/70427,50,50
"Women's Bowls, Hastings",Bruce Davidson,"(American, born 1933)",1960,Gelatin silver print,"7 1/4 x 10 7/8"" (18.5 x 27.8 cm)",Purchase,443.1966,Photograph,Photography,1966-10-11,Y,53447,http://www.moma.org/collection/works/53447,18.5,27.8
Mimeomap-Stretching Distances II,Felipe Ehrenberg,"(Mexican, born 1943)",1973,Printed ink on paper,"8 1/4 x 11"" (21 x 27.9 cm)",Latin American and Caribbean Fund,1080.2014,Drawing,Drawings,2014-12-17,Y,186579,http://www.moma.org/collection/works/186579,21,27.9
Horizon Studies,Jan Dibbets,"(Dutch, born 1941)",1971,Chromogenic color print,"8 9/16 x 11 3/16"" (21.7 x 28.4 cm)",Anonymous gift,221.2014.216,Photograph,Photography,2014-05-08,N,185199,,21.7,28.4
Leaf,Fiona Banner,"(British, born 1966)",2009,Lithograph on newsprint,"sheet: 14 9/16 x 11 7/16"" (37 x 29 cm)",Anonymous gift,556.2014.30,Print,Prints & Illustrated Books,2014-10-02,Y,188872,http://www.moma.org/collection/works/188872,37,29
Strips to Felt Particles,Barry Le Va,"(American, born 1941)",1967,Ink and pencil on graph paper,"8 1/2 x 11"" (21.6 x 27.9 cm)",Gift of Sarah-Ann and Werner H. Kramarsky,109.2,Drawing,Drawings,2000-02-03,Y,34022,http://www.moma.org/collection/works/34022,21.6,27.9
Now! At This Time! from The Whole Works,Yutaka Matsuzawa,"(Japanese, 1922â€“2006)",1970,Diazotype from a portfolio of 71 prints,"sheet: 7 1/8 x 10 3/16"" (18.1 x 25.8 cm)",Art & Project/Depot VBVR Gift,1064.2007.48,Print,Prints & Illustrated Books,2007-11-12,Y,124578,http://www.moma.org/collection/works/124578,18.1,25.8
Untitled from Black Dahlias,Paul Morrison,"(British, born 1966)",2002,One from a portfolio of twelve screenprints,"composition and sheet: 28 3/4 x 38 3/8"" (73 x 97.4 cm)",Jacqueline Brody Fund,735.2006.2,Print,Prints & Illustrated Books,2006-11-14,Y,106694,http://www.moma.org/collection/works/106694,73,97.4
Grasped from Life,Gerhard RÃ¼hm,"(Austrian, born 1930)",1959,Photomontage and typed text on paper,"each 11 13/16 x 8 11/16"" (30 x 22 cm)",The Photography Council Fund and gift of the Junior Associates of The Museum of Modern Art,228.1999.a-q,Photograph,Photography,1999-06-10,N,49166,,30,22
"FRANKLIN PARISH, WINNSBORO, LOUISIANA",Geoff Winningham,"(American, born 1943)",1975,Gelatin silver print,"6 3/16 x 9 1/4"" (15.7 x 23.5 cm)","Gift of Joseph E. Seagram & Sons, Inc., Seagram County Court House Archives",425.1983,Photograph,Photography,1983-03-24,N,53217,,15.7,23.5
streetlevel crossing over,Aleksandra Mir,"(American and Swedish, born Poland 1967)",2002,Catalogue and postcards,"overall: 4 3/16 x 6"" (10.7 x 15.2 cm)",Acquired through the generosity of Richard Gerrig and Timothy Peterson,125.2012.22,Print,Prints & Illustrated Books,2012-02-07,N,149148,,10.7,15.2
Mike Ness Social Distortion,Yoshitomo Nara,"(Japanese, born 1959)",1992,Pencil and colored pencil on notebook paper,"5 1/2 x 4"" (14 x 10.2 cm)",Fractional and promised gift of David Teiger in honor of Agnes Gund,410.2002.66,Drawing,Drawings,2002-12-10,Y,88479,http://www.moma.org/collection/works/88479,14,10.2
UNTITLED (Denim Apron),Joan Lyons,"(American, born 1937)",1973,Lithograph (off-set),"29 5/16 x 19"" (74.4 x 48.3 cm)",,176.1974.10,Photograph,Photography,1974-04-02,N,47408,,74.4,48.3
The Breaking of the Marble,"Harry Shunk, JÃ¡nos Kender, Italo Scanga","(German, 1924â€“2006) (Hungarian, 1937â€“2009) (American, 1932â€“2001)",1971,Gelatin silver print,"6 5/8 x 9 11/16"" (16.9 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.350,Photograph,Photography,2013-10-24,Y,176259,http://www.moma.org/collection/works/176259,16.9,24.6
"Treble-Two from the portfolio Notes on Image and Sound, Part Two: Notes on Sound",Romas Viesulas,"(American, 1918â€“1986)",1964,Inkless intaglio from a portfolio of twelve,"irreg composition 12 x 20 11/16"" (30.5 x 52.5 cm)",Purchase,316.1966.3,Print,Prints & Illustrated Books,1966-05-10,N,66776,,30.5,52.5
Jean Dubuffet,Arnold Newman,"(American, 1918â€“2006)",1956,Gelatin silver print,"sight 8 7/16 x 7 7/16"" (21.4 x 18.9 cm)",Gift of the photographer,299.1959,Photograph,Photography,1959-04-22,N,50183,,21.4,18.9
I'm Afraid,R. Crumb,"(American, born 1943)",2000,Ink on colored paper,"11 1/4 x 14 3/8"" (28.6 x 36.5 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1494.2005,Drawing,Drawings,2005-05-10,N,95745,,28.6,36.5
Memphis,William Eggleston,"(American, born 1939)",1971,Dye transfer print,"12 15/16 x 19 1/16"" (33 x 48.4 cm)",Gilman Foundation Fund,188.1975.5,Photograph,Photography,1975-05-14,N,48039,,33,48.4
Twentieth Century Wisemen,Samella Lewis,"(American, born 1924)",1968,Woodcut,"composition and sheet: 11 13/16 x 5 9/16"" (30 x 14.2 cm)",John B. Turner Fund,579.2014,Print,Prints & Illustrated Books,2014-10-02,Y,185794,http://www.moma.org/collection/works/185794,30,14.2
"Jericho Road, Glen, New Hampshire",Sage Sohier,"(American, born 1954)",1979,Gelatin silver print,"10 9/16 x 15 15/16"" (26.9 x 40.5 cm)",Gift of the photographer,529.1981,Photograph,Photography,1981-12-17,Y,54754,http://www.moma.org/collection/works/54754,26.9,40.5
Northern United States,Lee Friedlander,"(American, born 1934)",1968,Gelatin silver print,"6 3/16 x 9 5/16"" (15.7 x 23.7 cm)",Purchase,17.2006,Photograph,Photography,2006-01-11,Y,89915,http://www.moma.org/collection/works/89915,15.7,23.7
"Akron, Ohio",Lee Friedlander,"(American, born 1934)",1980,Gelatin silver print,"7 9/16 x 11 1/4"" (19.2 x 28.6 cm)",Purchase,882.2,Photograph,Photography,2000-10-12,N,57246,,19.2,28.6
Untitled (Scribble and B) from an untitled portfolio,David Shrigley,"(British, born 1968)",2005,One from a portfolio of twenty-two woodcuts,"composition and sheet: 23 9/16 x 15 11/16"" (59.8 x 39.9 cm)",The Associates Fund,292.2006.6,Print,Prints & Illustrated Books,2006-03-08,Y,102295,http://www.moma.org/collection/works/102295,59.8,39.9
Untitled from Women are Beautiful,Garry Winogrand,"(American, 1928â€“1984)",1970,Gelatin silver print,"8 11/16 x 13 1/16"" (22.1 x 33.1 cm)",Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,841.2007,Photograph,Photography,2007-10-11,Y,111122,http://www.moma.org/collection/works/111122,22.1,33.1
Lexington and 59th,Michael Spano,"(American, born 1949)",2005,Gelatin silver print,"27 3/4 x 34 13/16"" (70.5 x 88.5 cm)",Lois and Bruce Zenkel Fund,430.2006,Photograph,Photography,2006-05-11,Y,102592,http://www.moma.org/collection/works/102592,70.5,88.5
Untitled,William Gedney,"(American, 1932â€“1989)",1964,Gelatin silver print,"8 1/4 x 12"" (20.9 x 30.5 cm)",Mr. and Mrs. John Spencer Fund,384.1969,Photograph,Photography,1969-05-21,Y,52264,http://www.moma.org/collection/works/52264,20.9,30.5
Untitled,LeÃ³n Ferrari,"(Argentine, 1920â€“2013)",1984,Lithograph,"20 7/8 x 29 15/16"" (53 x 76 cm)",Gift of the artist through the Latin American and Caribbean Fund,1368.2009,Print,Prints & Illustrated Books,2009-11-17,N,118149,,53,76
"Bahia, Brazil",Claudia Andujar,"(Brazilian, born Switzerland. 1931)",1964,Gelatin silver print,"11 1/4 x 7 1/2"" (28.6 x 19 cm)",Benjamin Zeller Memorial Fund,208.1966,Photograph,Photography,1966-04-12,Y,48505,http://www.moma.org/collection/works/48505,28.6,19
East Houston Street between Avenue B and C,Madoka Takagi,"(Japanese, 1956â€“2015)",1989,Platinum/Palladium print,"9 1/2 x 7 1/2"" (24.1 x 19.1 cm)",Gift of Jessica and Robert Solomon,64.2005,Photograph,Photography,2005-01-12,Y,98270,http://www.moma.org/collection/works/98270,24.1,19.1
My Own Death from The Whole Works,Yutaka Matsuzawa,"(Japanese, 1922â€“2006)",1970,Diazotype from a portfolio of 71 prints,"sheet: 14 5/16 x 10 3/16"" (36.3 x 25.8 cm)",Art & Project/Depot VBVR Gift,1064.2007.46,Print,Prints & Illustrated Books,2007-11-12,Y,124576,http://www.moma.org/collection/works/124576,36.3,25.8
"The British Army during a Lull in the Rioting in the Creggan, after Internment, Derry",Gilles Peress,"(French, born 1946)",1971,"Inkjet print, printed c. 2009","24 3/16 x 36"" (61.4 x 91.5 cm)",Gift of Susan Paulsen MacGill,453.2011,Photograph,Photography,2011-05-18,Y,143151,http://www.moma.org/collection/works/143151,61.4,91.5
Untitled from Objects,Donald Baechler,"(American, born 1956)",1986,One from a portfolio of eight aquatints,"each sheet 20 1/16 x 13 15/16"" (51 x 35.4 cm)",Elinor and Edmund Grasheim Annual Fund,164.1986.6,Print,Prints & Illustrated Books,1986-05-20,Y,133813,http://www.moma.org/collection/works/133813,51,35.4
Corporate Mentality,Aleksandra Mir,"(American and Swedish, born Poland 1967)",2001,"Artistâ€™s Publications and announcements to Solo Shows
 
 Promotional card for the book with a contribution, Power Flower by Peter Persson
 http://aleksandramir.info/projects/corporate-mentality/","sheet: 8 7/16 x 6"" (21.4 x 15.3 cm)",Acquired through the generosity of Richard Gerrig and Timothy Peterson,125.2012.27,Print,Prints & Illustrated Books,2012-02-07,N,149170,,21.4,15.3
20 x 24 Sitting (man in profile),Lucas Samaras,"(American, born Greece 1936)",1980,Color instant print (Polacolor ER),"24 13/16 x 20 3/4"" (63 x 52.7 cm)",Gift of Robert and Gayle Greenhill,89.1992,Photograph,Photography,1992-01-09,N,46036,,63,52.7
Location Piece #7,"Douglas Huebler, Harry Shunk, JÃ¡nos Kender","(American, 1924â€“1997) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 11/16 x 9 11/16"" (17 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.176,Photograph,Photography,2013-10-24,Y,176125,http://www.moma.org/collection/works/176125,17,24.6
New York,Garry Winogrand,"(American, 1928â€“1984)",1969,Gelatin silver print,"10 11/16 x 15 7/8"" (27.1 x 40.4 cm)",Gift of Jeffrey Fraenkel in memory of Garry Winogrand,495.1984,Photograph,Photography,1984-12-05,N,54372,,27.1,40.4
Untitled,Antonius HÃ¶ckelman,"(German, 1937â€“2000)",1969,Crayon on paper,"14 7/8 x 15 3/4"" (37.7 x 39.8 cm)",Gift of The Cosmopolitan Arts Foundation,99.1979,Drawing,Drawings,1979-05-07,Y,33915,http://www.moma.org/collection/works/33915,37.7,39.8
"Policeman in a Squad Car on Church Square, Pretoria",David Goldblatt,"(South African, born 1930)",1967,Gelatin silver print,"9 1/16 x 13 3/8"" (23 x 34 cm)",Gift of Howard Stein,137.2002,Photograph,Photography,2002-04-11,Y,84215,http://www.moma.org/collection/works/84215,23,34
_Untitled_,Robert Frank,"(American, born Switzerland 1924)",1998,Gelatin silver print,"14 15/16 x 22 11/16"" (38 x 57.7 cm)",Gift of Robert and Gayle Greenhill,1227.2012,Photograph,Photography,2012-10-02,N,93442,,38,57.7
Parallel Fears,"Lee Jaffe, Harry Shunk, JÃ¡nos Kender","(American, born 1950) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 11/16 x 9 11/16"" (17 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.217,Photograph,Photography,2013-10-24,Y,176397,http://www.moma.org/collection/works/176397,17,24.6
Untitled,Birgit Megerle,"(German, born 1975)",2003,Pencil and colored pencil on paper,"16 3/4 x 11 3/4"" (42.5 x 29.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2428.2005,Drawing,Drawings,2005-05-10,Y,96702,http://www.moma.org/collection/works/96702,42.5,29.8
My Giant Colouring Book I (no. 1),"Dinos Chapman, Jake Chapman","(British, born 1962) (British, born 1966)",2004,Watercolor and gouache on printed paper,"18 x 14 3/4"" (45.7 x 37.5 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1416.2005,Drawing,Drawings,2005-05-10,Y,95668,http://www.moma.org/collection/works/95668,45.7,37.5
The Breaking of the Marble,"Italo Scanga, Harry Shunk, JÃ¡nos Kender","(American, 1932â€“2001) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 5/8 x 9 11/16"" (16.9 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.344,Photograph,Photography,2013-10-24,Y,176253,http://www.moma.org/collection/works/176253,16.9,24.6
